index,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,dist.m,part.a,part.b,SW_occurrence,AHN,LGN5,x,y
15,9.5,86.0,240.0,1032.0,7.702,0.0,16.2,1.0,1.0,1.0,10.0,1.0,0.0,0.0,3289.0,16.0,180820.0,333260.0
16,7.0,74.0,133.0,606.0,7.16,0.0122243,16.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,3437.0,16.0,180780.0,333100.0
17,7.1,69.0,148.0,711.0,7.1,0.0122243,16.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,3324.0,16.0,180700.0,332980.0
18,8.7,69.0,207.0,735.0,7.02,0.0,13.7,1.0,1.0,1.0,10.0,1.0,0.0,0.0,3260.0,16.0,180620.0,332860.0
19,12.9,95.0,284.0,1052.0,6.86,0.0,14.8,1.0,1.0,1.0,10.0,1.0,0.0,50.0,3485.0,16.0,180540.0,332700.0
20,5.5,53.0,194.0,673.0,8.908,0.0703468,10.2,1.0,1.0,1.0,80.0,1.0,0.0,0.0,3526.0,6.0,180660.0,332700.0
21,2.8,35.0,123.0,402.0,8.99,0.0975136,7.2,1.0,1.0,1.0,140.0,1.0,0.0,0.0,3545.0,6.0,180700.0,332700.0
22,2.9,35.0,110.0,343.0,8.83,0.113932,7.2,1.0,1.0,1.0,160.0,1.0,0.0,0.0,3549.0,6.0,180700.0,332660.0
23,1.7,24.0,85.0,218.0,9.02,0.342321,7.0,1.0,2.0,0.0,440.0,1.0,0.0,0.0,3566.0,4.0,181140.0,332940.0
24,1.4,26.0,75.0,200.0,8.976,0.385804,6.9,1.0,2.0,0.0,490.0,1.0,0.0,0.0,3540.0,2.0,181140.0,332820.0
25,1.5,22.0,76.0,194.0,8.973,0.429289,6.3,1.0,2.0,0.0,530.0,1.0,0.0,0.0,3556.0,1.0,181180.0,332780.0
26,1.3,27.0,73.0,207.0,8.507,0.315116,5.6,1.0,2.0,0.0,400.0,1.0,0.0,0.0,3530.0,4.0,181020.0,332780.0
27,1.3,24.0,67.0,180.0,8.743,0.320574,4.4,1.0,2.0,0.0,400.0,1.0,0.0,0.0,3543.0,6.0,180980.0,332700.0
28,1.8,22.0,87.0,240.0,8.973,0.249863,5.3,1.0,2.0,0.0,330.0,1.0,0.0,0.0,3557.0,6.0,180900.0,332740.0
29,1.5,21.0,65.0,180.0,9.043,0.489064,4.8,1.0,2.0,0.0,630.0,1.0,0.0,0.0,3541.0,3.0,181340.0,332940.0
30,1.3,29.0,78.0,208.0,8.688,0.472778,2.6,1.0,2.0,0.0,570.0,1.0,0.0,0.0,3616.0,1.0,181140.0,332580.0
31,1.3,21.0,64.0,198.0,8.727,0.287957,1.0,1.0,2.0,0.0,390.0,1.0,0.0,0.0,3546.0,11.0,180860.0,332500.0
32,2.1,27.0,77.0,250.0,8.328,0.271622,2.4,1.0,2.0,0.0,360.0,1.0,0.0,0.0,3520.0,2.0,180820.0,332460.0
33,1.2,26.0,80.0,192.0,7.971,0.385807,1.9,1.0,2.0,0.0,500.0,1.0,0.0,0.0,3527.0,11.0,180940.0,332380.0
34,1.6,27.0,82.0,213.0,7.809,0.418417,3.1,1.0,2.0,0.0,550.0,1.0,0.0,0.0,3478.0,11.0,180940.0,332300.0
35,3.0,32.0,97.0,321.0,6.986,0.244474,1.6,1.0,2.0,0.0,340.0,1.0,0.0,0.0,3554.0,1.0,180700.0,332340.0
36,5.8,50.0,166.0,569.0,7.756,0.135709,3.5,1.0,2.0,0.0,210.0,1.0,0.0,0.0,3410.0,2.0,180620.0,332460.0
37,7.9,67.0,217.0,833.0,7.784,0.0484965,8.1,1.0,1.0,1.0,60.0,1.0,0.0,0.0,3437.0,2.0,180540.0,332540.0
38,8.1,77.0,219.0,906.0,7.0,0.0,7.9,1.0,1.0,1.0,10.0,1.0,0.0,72.0,3254.0,16.0,180460.0,332580.0
39,14.1,108.0,405.0,1454.0,6.92,0.00135803,9.5,1.0,1.0,1.0,20.0,1.0,0.0,0.0,3467.0,16.0,180380.0,332460.0
40,2.4,32.0,102.0,298.0,7.516,0.135709,1.4,1.0,2.0,0.0,170.0,1.0,0.0,0.0,3416.0,2.0,180500.0,332340.0
41,1.2,21.0,48.0,167.0,8.18,0.26622,,1.0,2.0,0.0,320.0,1.0,0.0,0.0,3576.0,23.0,180580.0,332180.0
42,1.7,22.0,65.0,176.0,8.694,0.211843,,1.0,2.0,0.0,260.0,1.0,0.0,0.0,3531.0,1.0,180460.0,332180.0
43,1.3,21.0,62.0,258.0,9.28,0.320572,2.0,1.0,2.0,0.0,360.0,1.0,0.0,0.0,3625.0,1.0,180420.0,332020.0
44,4.2,51.0,281.0,746.0,7.94,0.081222,5.1,1.0,2.0,0.0,100.0,1.0,0.0,0.0,3584.0,5.0,180340.0,332300.0
45,4.3,50.0,294.0,746.0,6.36,0.190086,5.3,1.0,2.0,0.0,200.0,1.0,0.0,0.0,3551.0,1.0,180300.0,332140.0
46,3.1,38.0,211.0,464.0,7.78,0.287941,4.5,1.0,2.0,0.0,320.0,1.0,0.0,0.0,3571.0,1.0,180300.0,332020.0
47,1.7,26.0,135.0,365.0,8.18,0.423826,4.9,1.0,2.0,0.0,480.0,1.0,0.0,0.0,3643.0,1.0,180300.0,331860.0
48,1.7,24.0,112.0,282.0,9.42,0.554289,4.5,1.0,2.0,0.0,660.0,1.0,0.0,0.0,3568.0,1.0,180260.0,331700.0
49,2.1,32.0,162.0,375.0,8.867,0.603225,5.5,1.0,2.0,0.0,690.0,1.0,0.0,0.0,3598.0,1.0,180180.0,331580.0
50,1.7,24.0,94.0,222.0,8.292,0.614071,3.4,1.0,2.0,0.0,710.0,1.0,0.0,0.0,3581.0,1.0,180140.0,331540.0
51,8.2,47.0,191.0,812.0,8.06,0.00135803,11.1,1.0,1.0,1.0,10.0,1.0,0.0,21.0,3492.0,1.0,180220.0,332340.0
52,17.0,128.0,405.0,1548.0,7.98,0.0,12.3,1.0,1.0,1.0,10.0,1.0,0.0,0.0,3486.0,1.0,180100.0,332300.0
53,12.0,117.0,654.0,1839.0,7.9,0.0054321,16.5,1.0,1.0,1.0,10.0,1.0,0.0,0.0,3312.0,16.0,179980.0,332260.0
54,9.4,104.0,482.0,1528.0,7.74,0.0054321,13.9,1.0,1.0,1.0,10.0,1.0,0.0,0.0,3481.0,16.0,179820.0,332220.0
55,8.2,76.0,276.0,933.0,7.552,0.0054321,8.1,1.0,1.0,1.0,20.0,1.0,0.0,19.0,3351.0,16.0,179700.0,332180.0
56,2.6,36.0,180.0,432.0,7.76,0.146578,3.1,1.0,1.0,0.0,200.0,1.0,0.0,0.0,3630.0,1.0,179780.0,332020.0
57,3.5,34.0,207.0,550.0,6.74,0.135684,5.8,1.0,1.0,0.0,140.0,1.0,0.0,0.0,3531.0,6.0,179900.0,332100.0
58,10.9,90.0,541.0,1571.0,6.68,0.0703333,10.2,1.0,1.0,1.0,70.0,1.0,0.0,0.0,3532.0,1.0,180100.0,332220.0
59,7.3,80.0,310.0,1190.0,7.4,0.0484831,12.0,1.0,1.0,1.0,20.0,1.0,0.0,0.0,3597.0,1.0,179620.0,332060.0
60,9.4,78.0,210.0,907.0,7.44,0.0054321,14.1,1.0,1.0,1.0,10.0,0.0,1.0,0.0,3544.0,16.0,179540.0,331940.0
61,8.3,77.0,158.0,761.0,7.36,0.0054321,14.5,1.0,1.0,1.0,10.0,0.0,1.0,0.0,3458.0,16.0,179500.0,331780.0
62,7.0,65.0,141.0,659.0,7.2,0.0316663,14.8,1.0,1.0,1.0,20.0,0.0,1.0,0.0,3667.0,1.0,179500.0,331620.0
63,6.8,66.0,144.0,643.0,7.22,0.0122243,13.3,1.0,1.0,1.0,10.0,0.0,1.0,0.0,3547.0,16.0,179420.0,331500.0
64,7.4,72.0,181.0,801.0,7.36,0.0122243,15.2,1.0,1.0,1.0,20.0,0.0,1.0,0.0,3541.0,16.0,179340.0,331380.0
65,6.6,75.0,173.0,784.0,5.18,0.0373395,11.4,1.0,1.0,1.0,20.0,0.0,1.0,0.0,3482.0,1.0,179260.0,331260.0
66,7.8,75.0,399.0,1060.0,5.8,0.211846,9.0,1.0,1.0,0.0,270.0,0.0,1.0,0.0,3604.0,1.0,179460.0,331140.0
67,0.7,22.0,45.0,119.0,7.64,0.451037,3.6,1.0,1.0,1.0,560.0,0.0,1.0,0.0,3619.0,11.0,179700.0,330940.0
68,3.4,55.0,325.0,778.0,6.32,0.575877,6.9,1.0,1.0,0.0,750.0,0.0,1.0,0.0,3692.0,26.0,179860.0,330820.0
69,3.9,47.0,268.0,703.0,5.76,0.0756869,7.0,1.0,1.0,1.0,80.0,0.0,1.0,0.0,3596.0,2.0,179140.0,330940.0
70,3.5,46.0,252.0,676.0,6.48,0.12481,6.2,1.0,1.0,1.0,130.0,0.0,1.0,0.0,3600.0,2.0,179140.0,330860.0
71,4.7,55.0,315.0,793.0,6.48,0.103024,6.5,1.0,1.0,0.0,110.0,0.0,1.0,0.0,3675.0,1.0,179060.0,330860.0
72,3.9,49.0,260.0,685.0,6.32,0.157469,5.7,1.0,1.0,0.0,200.0,0.0,1.0,0.0,3709.0,1.0,179020.0,330740.0
73,3.1,39.0,237.0,593.0,6.32,0.200976,7.0,1.0,1.0,1.0,260.0,0.0,1.0,0.0,3651.0,1.0,179100.0,330740.0
74,2.9,45.0,228.0,549.0,6.16,0.200976,7.3,1.0,1.0,0.0,270.0,0.0,1.0,6.0,3664.0,1.0,179020.0,330660.0
75,3.9,48.0,241.0,680.0,6.56,0.26622,8.2,1.0,1.0,0.0,320.0,0.0,1.0,0.0,3761.0,1.0,179100.0,330620.0
76,2.7,36.0,201.0,539.0,6.9,0.298835,4.3,1.0,1.0,0.0,360.0,0.0,1.0,0.0,3815.0,1.0,179060.0,330500.0
77,2.5,36.0,204.0,560.0,7.54,0.0812247,4.4,1.0,1.0,1.0,80.0,0.0,1.0,11.0,3692.0,2.0,178820.0,330660.0
78,5.6,68.0,429.0,1136.0,6.42,0.070355,8.2,1.0,1.0,1.0,100.0,0.0,1.0,0.0,3595.0,1.0,178900.0,330780.0
79,9.4,88.0,462.0,1383.0,6.28,0.0122243,8.5,1.0,1.0,1.0,70.0,0.0,1.0,0.0,3622.0,1.0,178980.0,330940.0
80,10.8,85.0,333.0,1161.0,6.34,0.0,9.6,1.0,1.0,1.0,20.0,0.0,1.0,0.0,3386.0,16.0,179060.0,331020.0
81,18.1,76.0,464.0,1672.0,7.307,0.0537723,17.0,1.0,1.0,1.0,50.0,0.0,1.0,0.0,3801.0,1.0,180140.0,330340.0
82,6.3,63.0,159.0,765.0,5.7,0.0593662,12.8,1.0,1.0,1.0,80.0,0.0,1.0,0.0,3527.0,1.0,179220.0,331180.0
83,2.1,32.0,116.0,279.0,7.72,0.211843,5.9,1.0,2.0,0.0,290.0,1.0,0.0,0.0,3489.0,6.0,181100.0,333220.0
84,1.8,25.0,81.0,241.0,7.932,0.12481,2.9,2.0,2.0,1.0,160.0,0.0,1.0,0.0,3630.0,4.0,179460.0,331300.0
85,2.2,27.0,131.0,317.0,7.82,0.12481,4.5,2.0,1.0,0.0,160.0,0.0,1.0,0.0,3546.0,2.0,179540.0,331420.0
86,2.8,36.0,216.0,545.0,8.575,0.0921516,10.7,2.0,1.0,0.0,140.0,0.0,1.0,0.0,3686.0,1.0,179020.0,330860.0
87,2.4,41.0,145.0,505.0,8.536,0.113941,9.4,2.0,1.0,0.0,150.0,0.0,1.0,0.0,3719.0,1.0,178940.0,330740.0
88,2.6,33.0,163.0,420.0,8.504,0.179216,9.0,2.0,1.0,0.0,220.0,0.0,1.0,0.0,3746.0,1.0,178860.0,330500.0
89,1.8,27.0,129.0,332.0,8.659,0.233596,7.0,2.0,1.0,0.0,280.0,0.0,1.0,0.0,3741.0,2.0,178820.0,330340.0
90,2.0,38.0,148.0,400.0,7.633,0.336861,6.5,2.0,1.0,1.0,450.0,0.0,1.0,13.0,3753.0,1.0,179020.0,330380.0
91,2.7,37.0,214.0,553.0,8.538,0.070355,9.4,2.0,1.0,1.0,70.0,0.0,1.0,0.0,3739.0,2.0,178620.0,330420.0
92,2.7,34.0,226.0,577.0,7.68,0.0593662,10.2,2.0,1.0,0.0,70.0,0.0,1.0,0.0,3753.0,2.0,178700.0,330540.0
93,0.9,19.0,54.0,155.0,7.564,0.255341,6.4,2.0,1.0,0.0,340.0,0.0,1.0,0.0,3758.0,1.0,179540.0,330260.0
94,0.9,22.0,70.0,224.0,7.76,0.364067,7.6,2.0,1.0,0.0,470.0,0.0,1.0,0.0,3807.0,1.0,179300.0,330180.0
95,0.4,26.0,73.0,180.0,7.653,0.429295,7.0,2.0,1.0,0.0,630.0,0.0,1.0,0.0,3717.0,1.0,179420.0,330580.0
96,0.8,25.0,87.0,226.0,7.951,0.380328,5.6,2.0,1.0,0.0,460.0,0.0,1.0,0.0,3676.0,1.0,179460.0,330780.0
97,0.4,22.0,76.0,186.0,8.176,0.249874,6.5,2.0,1.0,0.0,320.0,0.0,1.0,0.0,3674.0,2.0,179300.0,330780.0
98,0.4,24.0,81.0,198.0,8.468,0.266212,6.6,2.0,1.0,0.0,320.0,0.0,1.0,0.0,3723.0,1.0,179180.0,330700.0
99,0.4,18.0,68.0,187.0,8.41,0.451037,5.9,2.0,1.0,0.0,540.0,0.0,1.0,0.0,3772.0,1.0,179220.0,330380.0
100,0.8,23.0,66.0,199.0,7.61,0.30971,6.5,2.0,1.0,0.0,420.0,0.0,1.0,0.0,3731.0,1.0,179620.0,330460.0
101,0.4,22.0,49.0,157.0,7.792,0.293359,6.4,2.0,1.0,0.0,380.0,0.0,1.0,0.0,3749.0,23.0,179780.0,330540.0
102,0.4,23.0,63.0,203.0,8.76,0.532351,7.2,2.0,2.0,0.0,500.0,0.0,1.0,0.0,3785.0,1.0,179980.0,330780.0
103,0.4,23.0,48.0,143.0,9.879,0.619513,6.6,2.0,3.0,0.0,760.0,0.0,1.0,0.0,3733.0,1.0,180060.0,331180.0
104,0.2,23.0,51.0,136.0,9.097,0.684725,4.3,2.0,2.0,0.0,750.0,0.0,1.0,0.0,3680.0,1.0,180180.0,331380.0
105,0.2,18.0,50.0,117.0,9.095,0.809742,5.3,2.0,3.0,0.0,1000.0,1.0,0.0,0.0,3626.0,1.0,180460.0,331460.0
106,0.4,20.0,39.0,113.0,9.717,0.880389,4.1,2.0,3.0,0.0,860.0,0.0,1.0,0.0,3716.0,1.0,180340.0,331140.0
107,0.2,22.0,48.0,130.0,9.924,0.749591,6.1,2.0,3.0,0.0,680.0,0.0,1.0,0.0,3732.0,1.0,180260.0,330980.0
108,0.2,27.0,64.0,192.0,9.404,0.575752,7.5,2.0,3.0,0.0,500.0,0.0,1.0,0.0,3687.0,9.0,180100.0,330820.0
109,0.4,25.0,84.0,240.0,10.52,0.581484,8.8,2.0,3.0,0.0,650.0,0.0,1.0,0.0,3755.0,1.0,179900.0,330900.0
110,0.2,30.0,67.0,221.0,8.84,0.49452,5.7,2.0,3.0,0.0,630.0,0.0,1.0,0.0,3744.0,6.0,179780.0,330940.0
111,0.2,23.0,49.0,140.0,8.472,0.32058,6.1,2.0,3.0,0.0,410.0,0.0,1.0,0.0,3697.0,1.0,179660.0,331140.0
112,0.2,24.0,48.0,128.0,9.634,0.336851,7.1,2.0,3.0,0.0,390.0,0.0,1.0,0.0,3744.0,4.0,179740.0,331260.0
113,0.2,21.0,56.0,166.0,9.206,0.249852,4.1,2.0,2.0,0.0,310.0,0.0,1.0,0.0,3649.0,4.0,179700.0,331460.0
114,0.2,24.0,65.0,191.0,8.47,0.0756869,6.0,2.0,1.0,0.0,70.0,0.0,1.0,0.0,3639.0,4.0,179460.0,331420.0
115,0.2,21.0,84.0,232.0,8.463,0.0756869,6.6,2.0,1.0,0.0,70.0,0.0,1.0,0.0,3665.0,1.0,179540.0,331580.0
116,0.2,23.0,75.0,203.0,9.691,0.162853,6.8,2.0,1.0,1.0,150.0,0.0,1.0,0.0,3719.0,18.0,179660.0,331740.0
117,3.7,53.0,250.0,722.0,8.704,0.0974916,9.1,2.0,2.0,0.0,80.0,0.0,1.0,0.0,3843.0,9.0,180340.0,330380.0
118,0.2,33.0,81.0,210.0,9.42,0.440142,5.9,2.0,2.0,0.0,450.0,1.0,0.0,0.0,3656.0,1.0,180180.0,331820.0
119,0.2,22.0,72.0,198.0,9.573,0.4619,4.9,2.0,2.0,0.0,530.0,1.0,0.0,0.0,3672.0,2.0,180020.0,331720.0
120,0.2,23.0,86.0,139.0,9.555,0.222701,7.1,2.0,1.0,0.0,240.0,1.0,0.0,0.0,3722.0,18.0,179780.0,331900.0
121,0.2,25.0,94.0,253.0,8.779,0.103024,8.1,2.0,1.0,1.0,70.0,0.0,1.0,0.0,3688.0,18.0,179660.0,331940.0
122,1.2,30.0,244.0,703.0,8.54,0.0921353,8.3,2.0,1.0,0.0,70.0,1.0,0.0,0.0,3656.0,1.0,179860.0,332140.0
123,2.4,47.0,297.0,832.0,8.809,0.0484884,10.0,2.0,1.0,0.0,60.0,1.0,0.0,0.0,3579.0,5.0,180260.0,332300.0
124,0.2,31.0,96.0,262.0,9.523,0.168331,5.9,2.0,1.0,0.0,190.0,1.0,0.0,0.0,3628.0,1.0,180100.0,332100.0
125,0.2,20.0,56.0,142.0,9.811,0.38581,5.0,2.0,2.0,0.0,450.0,1.0,0.0,0.0,3610.0,1.0,180460.0,331940.0
126,0.2,16.0,49.0,119.0,9.604,0.489064,4.5,2.0,2.0,0.0,550.0,1.0,0.0,0.0,3657.0,2.0,180460.0,331820.0
127,0.2,17.0,50.0,152.0,9.732,0.57602,5.4,2.0,2.0,0.0,650.0,1.0,0.0,0.0,3642.0,1.0,180340.0,331700.0
128,0.4,26.0,148.0,415.0,9.518,0.0812194,2.3,2.0,1.0,0.0,100.0,1.0,0.0,0.0,3601.0,1.0,180860.0,333100.0
129,1.6,34.0,162.0,474.0,9.72,0.0373369,7.5,2.0,1.0,0.0,170.0,1.0,0.0,0.0,3528.0,1.0,180700.0,332900.0
130,0.8,18.0,37.0,126.0,9.036,0.771698,4.6,2.0,3.0,1.0,860.0,0.0,1.0,0.0,3637.0,1.0,180220.0,331160.0
131,1.2,23.0,80.0,210.0,9.528,0.336829,5.8,2.0,2.0,0.0,410.0,1.0,0.0,0.0,3634.0,1.0,180180.0,331940.0
132,0.2,20.0,80.0,220.0,9.155,0.228123,4.4,3.0,1.0,0.0,290.0,1.0,0.0,0.0,3569.0,4.0,180940.0,332860.0
133,0.2,14.0,49.0,133.0,10.08,0.597761,4.4,3.0,2.0,0.0,680.0,1.0,0.0,0.0,3660.0,1.0,180460.0,331700.0
134,0.8,46.0,42.0,141.0,9.97,0.44558,4.5,3.0,2.0,0.0,540.0,0.0,1.0,0.0,3719.0,4.0,179900.0,331340.0
135,1.0,29.0,48.0,158.0,10.136,0.396675,5.2,3.0,2.0,0.0,480.0,0.0,1.0,0.0,3719.0,1.0,179820.0,331260.0
136,0.8,19.0,41.0,129.0,10.32,0.581478,4.6,3.0,3.0,0.0,720.0,0.0,1.0,0.0,3752.0,1.0,179980.0,331060.0
137,1.2,31.0,73.0,206.0,9.041,0.287966,6.9,3.0,1.0,0.0,380.0,0.0,1.0,0.0,3783.5,1.0,179120.0,330580.0
138,2.0,27.0,146.0,451.0,7.86,0.233596,7.0,3.0,1.0,0.0,310.0,0.0,1.0,14.0,3743.0,1.0,179020.0,330580.0
139,1.5,29.0,95.0,296.0,8.741,0.364067,5.4,3.0,1.0,0.0,430.0,0.0,1.0,0.0,3770.0,1.0,179100.0,330420.0
140,1.1,22.0,72.0,189.0,7.822,0.331454,6.2,3.0,1.0,0.0,370.0,0.0,1.0,0.0,3838.0,1.0,179220.0,330060.0
141,0.8,20.0,51.0,154.0,7.78,0.211846,5.0,3.0,1.0,0.0,290.0,0.0,1.0,0.0,3822.0,1.0,179460.0,330060.0
142,0.8,20.0,54.0,169.0,8.121,0.103029,5.1,3.0,1.0,0.0,150.0,0.0,1.0,0.0,3849.0,1.0,179540.0,329940.0
143,2.1,29.0,136.0,403.0,8.231,0.070355,8.1,3.0,1.0,0.0,70.0,0.0,1.0,0.0,3889.0,1.0,179460.0,329820.0
144,2.5,38.0,170.0,471.0,8.351,0.146576,8.0,3.0,1.0,0.0,220.0,0.0,1.0,0.0,3865.0,20.0,179340.0,329860.0
145,3.8,39.0,179.0,612.0,7.3,0.0537723,8.8,3.0,1.0,0.0,80.0,0.0,1.0,20.0,3840.0,23.0,179260.0,329700.0
146,3.2,35.0,200.0,601.0,7.536,0.119286,9.3,3.0,1.0,0.0,120.0,0.0,1.0,20.0,3553.0,23.0,179020.0,329740.0
147,3.1,42.0,258.0,783.0,7.706,0.0921435,8.4,3.0,1.0,0.0,120.0,0.0,1.0,57.0,3305.0,16.0,178780.0,329820.0
148,1.5,24.0,93.0,258.0,8.07,0.249863,7.7,3.0,1.0,0.0,260.0,0.0,1.0,0.0,3859.0,23.0,179140.0,329900.0
149,1.2,20.0,68.0,214.0,8.226,0.37494,5.7,3.0,1.0,0.0,440.0,0.0,1.0,0.0,3777.0,1.0,179020.0,330100.0
150,0.8,20.0,49.0,166.0,8.128,0.423837,4.7,3.0,1.0,0.0,540.0,0.0,1.0,0.0,3801.0,1.0,179180.0,330180.0
151,3.1,39.0,173.0,496.0,8.577,0.423837,9.1,3.0,1.0,0.0,520.0,0.0,1.0,13.0,3763.0,1.0,179100.0,330300.0
152,2.1,31.0,119.0,342.0,8.429,0.27709,6.5,3.0,1.0,0.0,350.0,0.0,1.0,0.0,3663.0,23.0,178860.0,330300.0
153,0.8,21.0,51.0,162.0,9.406,0.358606,5.7,3.0,1.0,0.0,460.0,0.0,1.0,0.0,3738.0,1.0,179460.0,330380.0
154,2.7,27.0,124.0,375.0,8.261,0.0122243,5.5,3.0,3.0,0.0,40.0,0.0,1.0,0.0,3963.0,1.0,180620.0,330180.0
